"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"5583"	-1.9661619969539	7.13017299086154	-11.708896607363	1.02891975196669e-17	8.03659820553979e-15	29.9619670730865
"93622"	-2.00941300608747	5.44570386007692	-11.686503876537	1.12065002666349e-17	8.50993613997586e-15	29.8784593645061
"9184"	-1.35924879272459	9.41239705746154	-11.6618039149883	1.2314308816011e-17	9.09844370966762e-15	29.7862746262387
"8320"	-2.94700256613121	5.49617697198462	-11.6442193529118	1.31696904800891e-17	9.60070435998499e-15	29.7205993851552
"26051"	-1.64120654579433	5.4872199216	-11.6332368428468	1.37340655761778e-17	9.88039520233579e-15	29.6795620714094
"55006"	-1.9386098803286	5.13092608609231	-11.5927068286008	1.60363436908074e-17	1.10985707758847e-14	29.5279873977981
"51348"	-3.20186952217376	7.73536993335385	-11.5611252729304	1.80971362020749e-17	1.23682615231055e-14	29.4097368778279
"4773"	-3.11604641007092	6.27048377869231	-11.5489338388783	1.8962336927385e-17	1.27995774259849e-14	29.364055560689
"84245"	-1.92755786006738	5.67815461167692	-11.5389058102001	1.97051826957322e-17	1.31387910230385e-14	29.3264667524738
"55619"	-2.48089896348936	7.94918168698462	-11.4310525336818	2.98121700576492e-17	1.96383180470117e-14	28.9214097933623
"9093"	-1.62497989679905	6.07199010706154	-11.3741536343761	3.71101871129644e-17	2.36011487955884e-14	28.7071451704319
"23157"	-1.9271536248948	8.29169545260769	-11.3553436025652	8.00083667986849e-17	3.87239044398897e-14	28.629209277146
"3003"	-3.30519968716076	8.13966490916923	-11.3412735951045	4.21233057653929e-17	2.61714970763961e-14	28.583149268254
"919"	-2.54954493521159	9.28065429927692	-11.3352890735497	4.31066437434037e-17	2.64815252434899e-14	28.5605666021874
"914"	-2.22462788963593	9.07300466498462	-11.3249878738764	4.48537695025118e-17	2.72486649727759e-14	28.521684764519
"4088"	-1.4779801754208	5.07883629372308	-11.2787152504143	5.36255861610278e-17	3.15266550898301e-14	28.3468711893644
"5533"	-1.64577308394917	5.38405389056923	-11.2596082568574	5.77344258173484e-17	3.32276813848792e-14	28.2746117351383
"23175"	-2.06264860403073	6.19568288476923	-11.2495023000264	6.0034466245535e-17	3.41915046039024e-14	28.2363750140851
"3932"	-1.87957631003783	9.86440418106154	-11.2199328236994	6.73086317616557e-17	3.71896002642575e-14	28.1244263630899
"6775"	-2.48325299606738	5.94191125678462	-11.2150210850737	6.86002310729878e-17	3.71896002642575e-14	28.1058206499657
"84678"	-1.61605387414303	6.29253684323077	-11.2146471390699	6.86995816495657e-17	3.71896002642575e-14	28.1044040211957
"28639"	-1.90139358336466	10.7425898751231	-11.188511767566	9.23874446934398e-17	4.64002742626985e-14	28.0037215350653
"864"	-1.8464644555721	5.51346590366154	-11.176470423211	7.96446032950002e-17	4.18306625470422e-14	27.9596907489479
"55750"	-1.86432902110047	4.31828731556923	-11.1742484709029	8.03332339723719e-17	4.18306625470422e-14	27.9512628540344
"23015"	-2.43373748176832	8.75935325833846	-11.1459553408997	8.96448925356167e-17	4.62390047111778e-14	27.8438955493982
"64172"	-2.04911643634634	5.30240624643077	-11.1371556143133	9.27571789490885e-17	4.70801645113386e-14	27.8104829011321
"5037"	-1.83051197363712	8.38449650883077	-11.1348014605904	9.36081014767651e-17	4.70801645113386e-14	27.8015426080726
"5588"	-2.31459864507565	6.65554162366154	-11.1224161069042	9.82161231056529e-17	4.88178775527416e-14	27.7544964002886
"124961"	-1.62229587179433	4.93507462963077	-11.0897598901916	1.11492208324464e-16	5.49174458571178e-14	27.6303641422623
"7374"	-1.82766071259102	4.5865896386	-11.0765829527515	1.1734832673365e-16	5.72858907514494e-14	27.5802407866436
"474344"	-1.32412497920213	10.2433017862308	-11.0373798410849	1.36669310326384e-16	6.49773438443047e-14	27.430997343604
"9451"	-1.48229065937825	7.8562412832	-11.0286147794798	1.4141025669803e-16	6.66517740083171e-14	27.3976049002421
"84656"	-2.09275938848109	9.61753082630769	-11.0148314716354	1.49202951722837e-16	6.91204353024544e-14	27.3450762935007
"2113"	-1.43917183875768	11.7830299378923	-11.0127095855991	1.50440453607537e-16	6.91204353024544e-14	27.336987764099
"10314"	-2.12426889393499	7.21179124689231	-11.0083555582479	1.53012231065822e-16	6.9716197779365e-14	27.3203887839818
"26528"	-1.13531957566785	8.32280232053846	-11.0032423845254	1.56089016247276e-16	7.04650484998005e-14	27.3008928863001
"10473"	-0.969324912869977	10.0684468530154	-11.0013664522831	1.57233395829459e-16	7.04650484998005e-14	27.293739430488
"3955"	-1.72877931043026	7.86108428735385	-10.9842343757787	1.68083561764374e-16	7.47151930037982e-14	27.228391196106
"84058"	-1.4343394419539	4.60631083316923	-10.9693987087579	1.78087113195016e-16	7.85234912414313e-14	27.1717749726995
"55556"	-1.52354242744444	6.36344812216923	-10.9558455956754	1.8774934220916e-16	8.21215622822867e-14	27.1200311112889
"23259"	-2.14668455990189	5.31307463044615	-10.9513962580285	1.91035129073072e-16	8.22428793863794e-14	27.1030395681107
"65108"	-1.93444197514066	8.2746854312	-10.949308479701	1.92596836187187e-16	8.22674376448003e-14	27.095065782997
"28951"	-2.6587059448487	6.95857487252308	-10.9308536241186	2.06973047138119e-16	8.52335760482914e-14	27.0245600019634
